,id,title,original_title,release_date,budget,revenue,popularity,vote_average,vote_count,runtime,original_language,year
84,281743,Tiny Times 4,小时代4：灵魂尽头,2015-07-09,0,82320000,0.6942,3.9,34,116,zh,2015
85,354072,Our Times,我的少女時代,2015-08-13,2700000,82027760,1.8104,7.4,180,133,zh,2015
86,249070,Hitman: Agent 47,Hitman: Agent 47,2015-08-20,35000000,81967450,5.3386,5.9,3321,96,en,2015
87,252838,The Wedding Ringer,The Wedding Ringer,2015-01-16,23000000,79799880,5.4098,6.463,1709,101,en,2015
88,146301,Paranormal Activity: The Ghost Dimension,Paranormal Activity: The Ghost Dimension,2015-10-21,10000000,78903124,3.1622,5.305,1490,87,en,2015
89,361759,Jawani Phir Nahi Ani,جوانی پھر نہیں آنی,2015-09-25,20000000,77000000,0.4227,6.909,11,158,ur,2015
90,201085,Crimson Peak,Crimson Peak,2015-10-13,55000000,74700000,5.9235,6.663,5290,119,en,2015
91,323272,War Room,War Room,2015-08-28,3000000,73267874,3.5623,7.835,587,120,en,2015
92,287948,The Transporter Refueled,The Transporter Refueled,2015-09-02,25000000,72629670,5.9335,5.511,1614,95,en,2015
93,241554,Run All Night,Run All Night,2015-03-11,50000000,71561644,4.7035,6.434,3003,114,en,2015
94,362136,Prem Ratan Dhan Payo,प्रेम रतन धन पायो,2015-11-11,23400000,67000000,1.1237,5.282,124,164,hi,2015
95,293863,The Age of Adaline,The Age of Adaline,2015-04-16,25000000,65663276,8.6313,7.466,7140,112,en,2015
96,243938,Hot Tub Time Machine 2,Hot Tub Time Machine 2,2015-02-20,36000000,64800000,2.5977,5.186,1019,93,en,2015
97,345235,Monk Comes Down the Mountain,道士下山,2015-07-03,0,64455686,2.1936,5.098,112,113,zh,2015
98,306819,The Danish Girl,The Danish Girl,2015-11-27,15000000,64200000,5.0093,7.542,5978,119,en,2015
99,243940,The Lazarus Effect,The Lazarus Effect,2015-01-29,3300000,64110728,2.3136,5.304,1533,83,en,2015
100,271110,Captain America: Civil War,Captain America: Civil War,2016-04-27,250000000,1155046416,36.6453,7.45,24211,147,en,2016
101,330459,Rogue One: A Star Wars Story,Rogue One: A Star Wars Story,2016-12-14,200000000,1056057273,11.3718,7.5,16550,133,en,2016
102,127380,Finding Dory,Finding Dory,2016-06-16,200000000,1029266989,10.4439,7.042,12737,97,en,2016
103,269149,Zootopia,Zootopia,2016-02-11,150000000,1025521689,25.7237,7.8,18307,109,en,2016
104,278927,The Jungle Book,The Jungle Book,2016-04-07,175000000,966550600,10.5059,6.877,8558,106,en,2016
105,328111,The Secret Life of Pets,The Secret Life of Pets,2016-06-18,75000000,875457937,3.9806,6.3,8567,86,en,2016
106,209112,Batman v Superman: Dawn of Justice,Batman v Superman: Dawn of Justice,2016-03-23,250000000,874362803,16.9028,6.006,19158,152,en,2016
107,259316,Fantastic Beasts and Where to Find Them,Fantastic Beasts and Where to Find Them,2016-11-16,180000000,809342332,19.2021,7.309,19819,133,en,2016
108,293660,Deadpool,Deadpool,2016-02-09,58000000,782837347,23.9463,7.624,32967,108,en,2016
109,297761,Suicide Squad,Suicide Squad,2016-08-03,175000000,749200054,11.1284,5.917,22236,122,en,2016
110,277834,Moana,Moana,2016-10-13,150000000,690860472,7.4721,7.566,13868,107,en,2016
111,284052,Doctor Strange,Doctor Strange,2016-10-25,180000000,676343174,24.1637,7.424,23605,115,en,2016
112,335797,Sing,Sing,2016-11-23,75000000,634151679,13.5644,7.125,8494,108,en,2016
113,381890,The Mermaid,美人鱼,2016-02-08,60720000,553810228,5.4091,6.545,494,94,zh,2016
114,246655,X-Men: Apocalypse,X-Men: Apocalypse,2016-05-18,178000000,543934787,19.8222,6.527,13895,144,en,2016
115,140300,Kung Fu Panda 3,Kung Fu Panda 3,2016-01-23,145000000,521170825,14.0756,6.93,6669,95,en,2016
116,313369,La La Land,La La Land,2016-12-01,30000000,509183536,22.0118,7.898,18263,129,en,2016
117,68735,Warcraft,Warcraft,2016-05-25,160000000,433677183,7.3035,6.409,7348,123,en,2016
118,324668,Jason Bourne,Jason Bourne,2016-07-27,120000000,415484914,7.435,6.4,6272,123,en,2016
119,278154,Ice Age: Collision Course,Ice Age: Collision Course,2016-06-23,105000000,408579038,16.6128,6.121,4928,95,en,2016
120,372058,Your Name.,君の名は。,2016-07-01,7500000,405320132,25.8397,8.5,12732,106,ja,2016
121,47933,Independence Day: Resurgence,Independence Day: Resurgence,2016-06-22,165000000,389681935,7.3902,5.368,6530,120,en,2016
122,258489,The Legend of Tarzan,The Legend of Tarzan,2016-06-29,180000000,356743061,8.9292,5.923,6566,109,en,2016
